index	rxnNames	metNames	comps	coefficient
90	galactitol:NAD+ 1-oxidoreductase	D-galactose	c	-1
90	galactitol:NAD+ 1-oxidoreductase	NAD	c	1
90	galactitol:NAD+ 1-oxidoreductase	Galactitol	c	1
91	dATP:pyruvate 2-O-phosphotransferase	pyruvate	c	-1
91	dATP:pyruvate 2-O-phosphotransferase	dATP	c	-1
91	dATP:pyruvate 2-O-phosphotransferase	phosphoenolpyruvate	c	1
91	dATP:pyruvate 2-O-phosphotransferase	H+	c	1
91	dATP:pyruvate 2-O-phosphotransferase	dADP	c	1
92	"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FAD	p	-1
92	"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	H+	p	-1
92	"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	palmitoyl-CoA	p	-1
92	"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FADH2	p	1
92	"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	trans-hexadec-2-enoyl-CoA	p	1
93	L-gulonate:NADP+ 6-oxidoreductase	NADP(+)	c	-1
93	L-gulonate:NADP+ 6-oxidoreductase	L-Gulonate	c	-1
93	L-gulonate:NADP+ 6-oxidoreductase	NADPH	c	1
93	L-gulonate:NADP+ 6-oxidoreductase	H+	c	1
93	L-gulonate:NADP+ 6-oxidoreductase	D-Glucuronate	c	1
94	Isocitrate:NADP+ oxidoreductase	NADP(+)	m	-1
94	Isocitrate:NADP+ oxidoreductase	isocitrate	m	-1
94	Isocitrate:NADP+ oxidoreductase	NADPH	m	1
94	Isocitrate:NADP+ oxidoreductase	H+	m	1
94	Isocitrate:NADP+ oxidoreductase	Oxalosuccinate	m	1
95	2-oxoadipate dehydrogenase complex	NAD	m	-1
95	2-oxoadipate dehydrogenase complex	coenzyme A	m	-1
95	2-oxoadipate dehydrogenase complex	2-Oxoadipate	m	-1
95	2-oxoadipate dehydrogenase complex	NADH	m	1
95	2-oxoadipate dehydrogenase complex	carbon dioxide	m	1
95	2-oxoadipate dehydrogenase complex	Glutaryl-CoA	m	1
96	Deoxyguanosine:orthophosphate ribosyltransferase	phosphate	c	-1
96	Deoxyguanosine:orthophosphate ribosyltransferase	2'-deoxyguanosine	c	-1
96	Deoxyguanosine:orthophosphate ribosyltransferase	Guacnine	c	1
96	Deoxyguanosine:orthophosphate ribosyltransferase	2-Deoxy-D-ribose 1-phosphate	c	1
97	dTTP nucleotidohydrolase	H2O	g	-1
97	dTTP nucleotidohydrolase	dTTP	g	-1
97	dTTP nucleotidohydrolase	phosphate	g	1
97	dTTP nucleotidohydrolase	dTDP	g	1
97	dTTP nucleotidohydrolase	H+	g	1
98	3-sulfino-L-alanine carboxy-lyase	3-sulfino-L-alanine	c	-1
98	3-sulfino-L-alanine carboxy-lyase	H+	c	-1
98	3-sulfino-L-alanine carboxy-lyase	carbon dioxide	c	1
98	3-sulfino-L-alanine carboxy-lyase	hypotaurine	c	1
99	p-Cumic alcohol:NADP+ oxidoreductase	H2O	m	-1
99	p-Cumic alcohol:NADP+ oxidoreductase	NADP(+)	m	-1
99	p-Cumic alcohol:NADP+ oxidoreductase	Betaine aldehyde	m	-1
99	p-Cumic alcohol:NADP+ oxidoreductase	NADPH	m	1
99	p-Cumic alcohol:NADP+ oxidoreductase	H+	m	2
99	p-Cumic alcohol:NADP+ oxidoreductase	Betaine	m	1
101	serotonin O-methyltransferase	5-methyltetrahydrofolate	c	-1
101	serotonin O-methyltransferase	Serotonin	c	-1
101	serotonin O-methyltransferase	Tetrahydrofolate	c	1
101	serotonin O-methyltransferase	5-Methoxytryptamine	c	1
102	Deamino-NAD+ nucleotidohydrolase	H2O	c	-1
102	Deamino-NAD+ nucleotidohydrolase	Deamino-NAD(+)	c	-1
102	Deamino-NAD+ nucleotidohydrolase	AMP	c	1
102	Deamino-NAD+ nucleotidohydrolase	H+	c	2
102	Deamino-NAD+ nucleotidohydrolase	Nicotinate D-ribonucleotide	c	1
103	CTP:D-tagatose 6-phosphate 1-phosphotransferase	CTP	c	-1
103	CTP:D-tagatose 6-phosphate 1-phosphotransferase	H+	c	-1
103	CTP:D-tagatose 6-phosphate 1-phosphotransferase	D-Tagatose 6-phosphate	c	-1
103	CTP:D-tagatose 6-phosphate 1-phosphotransferase	CDP	c	1
103	CTP:D-tagatose 6-phosphate 1-phosphotransferase	"D-Tagatose 1,6-bisphosphate"	c	1
104	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	NAD	c	-1
104	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	trans-4-hydroxy-L-proline	c	-1
104	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	NADH	c	1
104	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	H+	c	2
104	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	1-pyrroline-3-hydroxy-5-carboxylic acid	c	1
105	nicotinate D-ribonucleotide phosphohydrolase	H2O	c	-1
105	nicotinate D-ribonucleotide phosphohydrolase	Nicotinate D-ribonucleotide	c	-1
105	nicotinate D-ribonucleotide phosphohydrolase	phosphate	c	1
105	nicotinate D-ribonucleotide phosphohydrolase	Nicotinate D-ribonucleoside	c	1
106	R03367	Caffeate	m	-1
106	R03367	carbon dioxide	m	1
106	R03367	"3,4-Dihydroxystyrene"	m	1
107	trans-Oct-2-enoyl-CoA reductase	NADP(+)	m	-1
107	trans-Oct-2-enoyl-CoA reductase	octanoyl-CoA	m	-1
107	trans-Oct-2-enoyl-CoA reductase	NADPH	m	1
107	trans-Oct-2-enoyl-CoA reductase	H+	m	1
107	trans-Oct-2-enoyl-CoA reductase	trans-oct-2-enoyl-CoA	m	1
108	Sucrose 6-phosphate fructohydrolase	H2O	c	-1
108	Sucrose 6-phosphate fructohydrolase	Sucrose 6-phosphate	c	-1
108	Sucrose 6-phosphate fructohydrolase	D-glucose 6-phosphate	c	1
108	Sucrose 6-phosphate fructohydrolase	D-fructose	c	1
109	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	c	-1
109	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	3-hydroxy-L-kynurenine	c	-1
109	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	L-glutamate	c	1
109	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	c	1
110	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	Thiamin diphosphate	m	-1
110	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	(2S)-2-acetolactate	m	-1
110	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	pyruvate	m	1
110	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	2-(alpha-Hydroxyethyl)thiamine diphosphate	m	1
113	(S)-3-Hydroxyisobutyryl-CoA hydrolase	H2O	m	-1
113	(S)-3-Hydroxyisobutyryl-CoA hydrolase	3-Hydroxyisobutyryl-CoA	m	-1
113	(S)-3-Hydroxyisobutyryl-CoA hydrolase	coenzyme A	m	1
113	(S)-3-Hydroxyisobutyryl-CoA hydrolase	3-Hydroxyisobutyrate	m	1
113	(S)-3-Hydroxyisobutyryl-CoA hydrolase	H+	m	1
116	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	NAD	c	-1
116	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	"meso-2,3-Butanediol"	c	-1
116	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	NADH	c	1
116	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	H+	c	1
116	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	Acetoin	c	1
121	5-methylcytosine deaminase	5-methylcytosine	c	-1
121	5-methylcytosine deaminase	H+	c	-1
121	5-methylcytosine deaminase	H2O	c	-1
121	5-methylcytosine deaminase	ammonium	c	1
121	5-methylcytosine deaminase	thymine	c	1
129	uroporphyrinogen-I decarboxylase;uroporphyrinogen I decarboxylase;uroporphyrinogen decarboxylase	uroporphyrinogen-I	c	-1
129	uroporphyrinogen-I decarboxylase;uroporphyrinogen I decarboxylase;uroporphyrinogen decarboxylase	H+	c	-4
129	uroporphyrinogen-I decarboxylase;uroporphyrinogen I decarboxylase;uroporphyrinogen decarboxylase	carbon dioxide	c	4
129	uroporphyrinogen-I decarboxylase;uroporphyrinogen I decarboxylase;uroporphyrinogen decarboxylase	coproporphyrinogen I	c	1
130	ureidoglycolate urea-lyase;ureidoglycolate lyase	ureidoglycolic acid	c	-1
130	ureidoglycolate urea-lyase;ureidoglycolate lyase	glyoxylate	c	1
130	ureidoglycolate urea-lyase;ureidoglycolate lyase	urea	c	1
132	flavin prenyltransferase;FMN prenyltransferase	dimethylallyl phosphate	m	-1
132	flavin prenyltransferase;FMN prenyltransferase	FMNH2	m	-1
132	flavin prenyltransferase;FMN prenyltransferase	prenylated FMNH2	m	1
132	flavin prenyltransferase;FMN prenyltransferase	phosphate	m	1
138	pyrroline-5-carboxylate reductase;PCA reductase	1-Pyrroline-5-carboxylate	c	-1
138	pyrroline-5-carboxylate reductase;PCA reductase	NADPH	c	-1
138	pyrroline-5-carboxylate reductase;PCA reductase	H+	c	-2
138	pyrroline-5-carboxylate reductase;PCA reductase	NADP(+)	c	1
138	pyrroline-5-carboxylate reductase;PCA reductase	L-proline	c	1
139	pyrroline-5-carboxylate reductase;PCA reductase	1-Pyrroline-5-carboxylate	c	-1
139	pyrroline-5-carboxylate reductase;PCA reductase	NADH	c	-1
139	pyrroline-5-carboxylate reductase;PCA reductase	H+	c	-2
139	pyrroline-5-carboxylate reductase;PCA reductase	NAD	c	1
139	pyrroline-5-carboxylate reductase;PCA reductase	L-proline	c	1
155	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ATP	m	-1
155	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	m	-1
155	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ADP	m	1
155	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	m	1
156	FAD nucleotidohydrolase	H2O	n	-1
156	FAD nucleotidohydrolase	FAD	n	-1
156	FAD nucleotidohydrolase	AMP	n	1
156	FAD nucleotidohydrolase	FMN	n	1
156	FAD nucleotidohydrolase	H+	n	2
157	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	H2O	n	-1
157	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	"P1,P3-Bis(5'-adenosyl) triphosphate"	n	-1
157	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	ADP	n	1
157	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	AMP	n	1
157	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	H+	n	2
140	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	NADP(+)	n	-2
140	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	Tetrahydrofolate	n	-1
140	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	NADPH	n	2
140	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	H+	n	2
140	"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"	folate	n	1
141	ITP:cytidine 5'-phosphotransferase	ITP	c	-1
141	ITP:cytidine 5'-phosphotransferase	cytidine	c	-1
141	ITP:cytidine 5'-phosphotransferase	CMP	c	1
141	ITP:cytidine 5'-phosphotransferase	IDP	c	1
141	ITP:cytidine 5'-phosphotransferase	H+	c	1
142	galactitol:NADP+ 1-oxidoreductase	NADPH	c	-1
142	galactitol:NADP+ 1-oxidoreductase	H+	c	-1
142	galactitol:NADP+ 1-oxidoreductase	D-Galactose	c	-1
142	galactitol:NADP+ 1-oxidoreductase	NADP(+)	c	1
142	galactitol:NADP+ 1-oxidoreductase	Galactitol	c	1
143	dGTP:pyruvate 2-O-phosphotransferase	pyruvate	c	-1
143	dGTP:pyruvate 2-O-phosphotransferase	dGTP	c	-1
143	dGTP:pyruvate 2-O-phosphotransferase	phosphoenolpyruvate	c	1
143	dGTP:pyruvate 2-O-phosphotransferase	dGDP	c	1
143	dGTP:pyruvate 2-O-phosphotransferase	H+	c	1
144	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	2-oxoglutarate	c	-1
144	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	3-sulfino-L-alanine	c	-1
144	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	L-glutamate	c	1
144	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	3-Sulfinylpyruvate	c	1
146	octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase	FAD	p	-1
146	octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase	H+	p	-1
146	octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase	octanoyl-CoA	p	-1
146	octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase	FADH2	p	1
146	octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase	trans-oct-2-enoyl-CoA	p	1
147	trans-Dodec-2-enoyl-CoA reductase	NADP(+)	m	-1
147	trans-Dodec-2-enoyl-CoA reductase	lauroyl-CoA	m	-1
147	trans-Dodec-2-enoyl-CoA reductase	NADPH	m	1
147	trans-Dodec-2-enoyl-CoA reductase	H+	m	1
147	trans-Dodec-2-enoyl-CoA reductase	2-trans-Dodecenoyl-CoA	m	1
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	H2O	m	-2
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	NADP(+)	m	-1
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	L-1-Pyrroline-3-hydroxy-5-carboxylate	m	-1
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	NADPH	m	1
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	H+	m	2
149	L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	erythro-4-hydroxy-L-glutamic acid	m	1
158	"GTP 8,9-hydrolase"	H2O	n	-1
158	"GTP 8,9-hydrolase"	GTP	n	-1
158	"GTP 8,9-hydrolase"	H+	n	-1
158	"GTP 8,9-hydrolase"	Formamidopyrimidine nucleoside triphosphate	n	1
159	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	GTP	n	-1
159	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	diphosphate	n	1
159	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	"3',5'-cyclic GMP"	n	1
160	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	GTP	c	-1
160	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	diphosphate	c	1
160	"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)"	"3',5'-cyclic GMP"	c	1
161	ATP:cytidine 5'-phosphotransferase	ATP	n	-1
161	ATP:cytidine 5'-phosphotransferase	cytidine	n	-1
161	ATP:cytidine 5'-phosphotransferase	ADP	n	1
161	ATP:cytidine 5'-phosphotransferase	CMP	n	1
161	ATP:cytidine 5'-phosphotransferase	H+	n	1
162	acetyl adenylate:CoA acetyltransferase	coenzyme A	n	-1
162	acetyl adenylate:CoA acetyltransferase	Acetyl adenylate	n	-1
162	acetyl adenylate:CoA acetyltransferase	AMP	n	1
162	acetyl adenylate:CoA acetyltransferase	acetyl-CoA	n	1
162	acetyl adenylate:CoA acetyltransferase	H+	n	1
163	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	acetyl-CoA	p	-1
163	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	propanoyl-CoA	p	-1
163	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	coenzyme A	p	1
163	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase;	2-Methylacetoacetyl-CoA	p	1
164	5-Methylcytosine aminohydrolase	H2O	c	-1
164	5-Methylcytosine aminohydrolase	H+	c	-1
164	5-Methylcytosine aminohydrolase	5-methylcytosine	c	-1
164	5-Methylcytosine aminohydrolase	ammonium	c	1
164	5-Methylcytosine aminohydrolase	thymine	c	1
165	Ethanol:NADP+ oxidoreductase	NADP(+)	n	-1
165	Ethanol:NADP+ oxidoreductase	ethanol	n	-1
165	Ethanol:NADP+ oxidoreductase	NADPH	n	1
165	Ethanol:NADP+ oxidoreductase	H+	n	1
165	Ethanol:NADP+ oxidoreductase	acetaldehyde	n	1
166	APS:ATP adenylyltransferase	ATP	n	-1
166	APS:ATP adenylyltransferase	5'-adenylyl sulfate	n	-1
166	APS:ATP adenylyltransferase	Sulfate	n	1
166	APS:ATP adenylyltransferase	"P1,P4-Bis(5'-adenosyl)tetraphosphate"	n	1
167	L-Homoserine:NAD+ oxidoreductase	NAD	c	-1
167	L-Homoserine:NAD+ oxidoreductase	L-homoserine	c	-1
167	L-Homoserine:NAD+ oxidoreductase	NADH	c	1
167	L-Homoserine:NAD+ oxidoreductase	H+	c	1
167	L-Homoserine:NAD+ oxidoreductase	L-aspartate 4-semialdehyde	c	1
168	L-Kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	c	-1
168	L-Kynurenine:2-oxoglutarate aminotransferase	L-kynurenine	c	-1
168	L-Kynurenine:2-oxoglutarate aminotransferase	L-glutamate	c	1
168	L-Kynurenine:2-oxoglutarate aminotransferase	"4-(2-Aminophenyl)-2,4-dioxobutanoate"	c	1
169	L-Kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	c	-1
169	L-Kynurenine:2-oxoglutarate aminotransferase	L-kynurenine	c	-1
169	L-Kynurenine:2-oxoglutarate aminotransferase	H2O	c	1
169	L-Kynurenine:2-oxoglutarate aminotransferase	kynurenate	c	1
169	L-Kynurenine:2-oxoglutarate aminotransferase	L-glutamate	c	1
169	L-Kynurenine:2-oxoglutarate aminotransferase	H+	c	1
174	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	diphosphate	n	-1
174	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	n	-1
174	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	5-Phospho-alpha-D-ribose 1-diphosphate	n	1
174	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	5-Amino-4-imidazolecarboxyamide	n	1
175	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	AMP	n	-1
175	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	diphosphate	n	-1
175	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	5-Phospho-alpha-D-ribose 1-diphosphate	n	1
175	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	adenine	n	1
179	5-methyltetrahydrofolate:NAD+ oxidoreductase	NAD	m	-1
179	5-methyltetrahydrofolate:NAD+ oxidoreductase	5-methyltetrahydrofolate	m	-1
179	5-methyltetrahydrofolate:NAD+ oxidoreductase	NADH	m	1
179	5-methyltetrahydrofolate:NAD+ oxidoreductase	H+	m	1
179	5-methyltetrahydrofolate:NAD+ oxidoreductase	"5,10-methylenetetrahydrofolate"	m	1
181	R07494	NADP(+)	p	-1
181	R07494	4alpha-Methylzymosterol-4-carboxylate	p	-1
181	R07494	NADPH	p	1
181	R07494	carbon dioxide	p	1
181	R07494	3-Keto-4-methylzymosterol	p	1
182	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	S-adenosylmethioninamine	n	-1
182	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	Cadaverine	n	-1
182	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	5'-Methylthioadenosine	n	1
182	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	Aminopropylcadaverine	n	1
182	S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase	H+	n	1
183	cytidine nucleosidase	cytidine	n	-1
183	cytidine nucleosidase	H2O	n	-1
183	cytidine nucleosidase	cytosine	n	1
183	cytidine nucleosidase	D-Ribofuranose	n	1
184	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	farnesyl diphosphate	c	-1
184	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	H2O	c	-1
184	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	farnesol	c	1
184	"(E,E,)-farnesol synthase;(2E,6E)-farnesyl diphosphate phosphatase"	diphosphate	c	1
190	L-gulonate:NADP+ 6-oxidoreductase	NADP(+)	n	-1
190	L-gulonate:NADP+ 6-oxidoreductase	L-Gulonate	n	-1
190	L-gulonate:NADP+ 6-oxidoreductase	NADPH	n	1
190	L-gulonate:NADP+ 6-oxidoreductase	H+	n	1
190	L-gulonate:NADP+ 6-oxidoreductase	D-Glucuronate	n	1
189	Succinate:CoA ligase (IDP-forming)	coenzyme A	n	-1
189	Succinate:CoA ligase (IDP-forming)	succinate	n	-1
189	Succinate:CoA ligase (IDP-forming)	ITP	n	-1
189	Succinate:CoA ligase (IDP-forming)	phosphate	n	1
189	Succinate:CoA ligase (IDP-forming)	succinyl-CoA	n	1
189	Succinate:CoA ligase (IDP-forming)	IDP	n	1
188	UTP:cytidine 5'-phosphotransferase	UTP	n	-1
188	UTP:cytidine 5'-phosphotransferase	cytidine	n	-1
188	UTP:cytidine 5'-phosphotransferase	UDP	n	1
188	UTP:cytidine 5'-phosphotransferase	CMP	n	1
188	UTP:cytidine 5'-phosphotransferase	H+	n	1
187	ATP:acetate adenylyltransferase	ATP	n	-1
187	ATP:acetate adenylyltransferase	H+	n	-1
187	ATP:acetate adenylyltransferase	acetate	n	-1
187	ATP:acetate adenylyltransferase	diphosphate	n	1
187	ATP:acetate adenylyltransferase	Acetyl adenylate	n	1
192	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	2-oxoglutarate	m	-1
192	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	3-hydroxy-L-kynurenine	m	-1
192	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	L-glutamate	m	1
192	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	m	1
191	CTP:D-tagatose 6-phosphate 1-phosphotransferase	CTP	m	-1
191	CTP:D-tagatose 6-phosphate 1-phosphotransferase	H+	m	-1
191	CTP:D-tagatose 6-phosphate 1-phosphotransferase	D-Tagatose 6-phosphate	m	-1
191	CTP:D-tagatose 6-phosphate 1-phosphotransferase	CDP	m	1
191	CTP:D-tagatose 6-phosphate 1-phosphotransferase	"D-Tagatose 1,6-bisphosphate"	m	1
195	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	NAD	n	-1
195	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	"meso-2,3-Butanediol"	n	-1
195	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	NADH	n	1
195	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	H+	n	1
195	"meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"	Acetoin	n	1
197	5-methylcytosine deaminase	5-methylcytosine	n	-1
197	5-methylcytosine deaminase	H+	n	-1
197	5-methylcytosine deaminase	H2O	n	-1
197	5-methylcytosine deaminase	ammonium	n	1
197	5-methylcytosine deaminase	thymine	n	1
203	ITP:cytidine 5'-phosphotransferase	ITP	n	-1
203	ITP:cytidine 5'-phosphotransferase	cytidine	n	-1
203	ITP:cytidine 5'-phosphotransferase	CMP	n	1
203	ITP:cytidine 5'-phosphotransferase	IDP	n	1
203	ITP:cytidine 5'-phosphotransferase	H+	n	1
204	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	2-oxoglutarate	p	-1
204	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	3-sulfino-L-alanine	p	-1
204	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	L-glutamate	p	1
204	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	3-Sulfinylpyruvate	p	1
202	S-nitrosoglutathione dehydrogenase;S-nitrosoglutathione reductase	NADH	m	-1
